Индекс;Тип региона;Регион;Город;Часовой пояс;Широта;Долгота;Население
352380;край;Краснодарский;Кропоткин;UTC+3;45.4332464;40.5727852;80743
141601;обл;Московская;Клин;UTC+3;56.3424886;36.7240912;80584
623300;обл;Свердловская;Красноуфимск;UTC+5;56.6122864;57.7636958;80457
188800;обл;Ленинградская;Выборг;UTC+3;60.7130748;28.7328813;80013
628000;АО;Ханты-Мансийский Автономный округ - Югра;Ханты-Мансийск;UTC+5;61.0024344;69.0183322;79410
457100;обл;Челябинская;Троицк;UTC+5;54.0844132;61.5585503;78637
606440;обл;Нижегородская;Бор;UTC+3;56.3565179;44.0644851;78079
298600;Респ;Крым;Ялта;UTC+3;44.4951948;34.166386;78040
641870;обл;Курганская;Шадринск;UTC+5;56.0870152;63.6298234;77744
652600;обл;Кемеровская;Белово;UTC+7;54.4221442;86.3036438;76752
357200;край;Ставропольский;Минеральные Воды;UTC+3;44.2088942;43.1383482;76715
652470;обл;Кемеровская;Анжеро-Судженск;UTC+7;56.0787179;86.0202207;76669
679002;Аобл;Еврейская;Биробиджан;UTC+10;48.7945975;132.9217594;75419
141055;обл;Московская;Лобня;UTC+3;56.0328745;37.4614671;74350
658041;край;Алтайский;Новоалтайск;UTC+7;53.4120811;83.9311249;73134
446100;обл;Самарская;Чапаевск;UTC+4;52.9289662;49.8674222;72689
357820;край;Ставропольский;Георгиевск;UTC+3;44.1486421;43.4739718;72126
655151;Респ;Хакасия;Черногорск;UTC+7;53.8258425;91.3259669;72117
662600;край;Красноярский;Минусинск;UTC+7;53.7105509;91.6871866;71171
356240;край;Ставропольский;Михайловск;UTC+3;45.1296297;42.028787;71018
423600;Респ;Татарстан;Елабуга;UTC+3;55.7566727;52.0544438;70750
141980;обл;Московская;Дубна;UTC+3;56.7417949;37.1757163;70569
169900;Респ;Коми;Воркута;UTC+3;67.4973484;64.0611045;70551
140300;обл;Московская;Егорьевск;UTC+3;55.3831326;39.0358236;70133
624260;обл;Свердловская;Асбест;UTC+5;57.0052428;61.4581071;70067
298100;Респ;Крым;Феодосия;UTC+3;45.031878;35.3824772;69786
627705;обл;Тюменская;Ишим;UTC+5;56.0952037;69.4643292;69567
453500;Респ;Башкортостан;Белорецк;UTC+5;53.9675927;58.4099562;68804
676805;обл;Амурская;Белогорск;UTC+9;50.9212235;128.4738742;68220
617470;край;Пермский;Кунгур;UTC+5;57.4283217;56.9437787;67857
618900;край;Пермский;Лысьва;UTC+5;58.0995987;57.8085728;67712
347870;обл;Ростовская;Гуково;UTC+3;48.0449422;39.9484635;67268
142800;обл;Московская;Ступино;UTC+3;54.9238403;38.1186976;66942
452750;Респ;Башкортостан;Туймазы;UTC+5;54.5999889;53.6949081;66849
607650;обл;Нижегородская;Кстово;UTC+3;56.1433353;44.1665081;66641
412900;обл;Саратовская;Вольск;UTC+4;52.0459932;47.3873504;66520
453200;Респ;Башкортостан;Ишимбай;UTC+5;53.4546314;56.043874;66259
663690;край;Красноярский;Зеленогорск;UTC+7;56.1133001;94.5888736;66018
188540;обл;Ленинградская;Сосновый Бор;UTC+3;59.8772921;29.1290866;65901
368220;Респ;Дагестан;Буйнакск;UTC+3;42.8213799;47.1164452;65735
397160;обл;Воронежская;Борисоглебск;UTC+3;51.3654619;42.100947;65585
143300;обл;Московская;Наро-Фоминск;UTC+3;55.3802749;36.7608038;64640
356800;край;Ставропольский;Буденновск;UTC+3;44.7814437;44.1650859;64628
301760;обл;Тульская;Донской;UTC+3;53.9679582;38.3372104;64561
623382;обл;Свердловская;Полевской;UTC+5;56.4958085;60.2366314;64316
423250;Респ;Татарстан;Лениногорск;UTC+3;54.5966917;52.4432118;64145
142500;обл;Московская;Павловский Посад;UTC+3;55.7806718;38.6596047;63771
353560;край;Краснодарский;Славянск-на-Кубани;UTC+3;45.2605079;38.1260725;63768
442960;обл;Пензенская;Заречный;UTC+3;53.1961009;45.1691502;63579
352800;край;Краснодарский;Туапсе;UTC+3;44.1103707;39.082645;63233
396650;обл;Воронежская;Россошь;UTC+3;50.170089;39.6225534;62865
649000;Респ;Алтай;Горно-Алтайск;UTC+7;51.9582681;85.9602957;62861
453300;Респ;Башкортостан;Кумертау;UTC+5;52.7565537;55.7969915;62854
352500;край;Краснодарский;Лабинск;UTC+3;44.6353153;40.724385;62822
453830;Респ;Башкортостан;Сибай;UTC+5;52.7205811;58.6663303;62732
243140;обл;Брянская;Клинцы;UTC+3;52.7529052;32.2339161;62510
172380;обл;Тверская;Ржев;UTC+3;56.2629393;34.3291178;62026
352120;край;Краснодарский;Тихорецк;UTC+3;45.8546953;40.1258702;61825
678960;Респ;Саха /Якутия/;Нерюнгри;UTC+9;56.6600322;124.72031;61746
301352;обл;Тульская;Алексин;UTC+3;54.5083788;37.047891;61738
